title,tmdb_id,genres,languages,production_countries,release_date,overview
69: The Saga of Danny Hernandez,765057,"['Music', 'Documentary']",['English'],['United States of America'],2021-04-29,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame."
Ammonite,568467,"['Romance', 'Drama']",['English'],['United Kingdom'],2020-11-13,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably."
Love and Monsters,590223,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",['English'],['United States of America'],2020-10-16,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way."
Dick Johnson Is Dead,653574,['Documentary'],['English'],['United States of America'],2020-01-23,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all."
"Love, Guaranteed",644090,"['Romance', 'Comedy']",['English'],['United States of America'],2020-09-02,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.
Feel the Beat,707886,"['Comedy', 'Music', 'Drama']","['English', 'Turkish']","['Canada', 'United States of America']",2020-06-19,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition."
Babyteeth,522098,"['Drama', 'Comedy', 'Romance']",['English'],['Australia'],2020-06-15,A terminally ill teen upsets her parents when she falls in love with a small-time drug dealer.
Spelling the Dream,530973,['Documentary'],['English'],['United States of America'],2020-06-03,"Since 1999, 18 of the last 22 winners of the Scripps National Spelling Bee have been Indian-American, making the incredible trend one of the longest in sports history. “Breaking the Bee” is a feature-length documentary that explores and celebrates this new dynasty while following four students, ages 7 to 14, as they vie for the title of spelling bee champion."
A Secret Love,687156,['Documentary'],['English'],['United States of America'],2020-04-29,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges."
Love Wedding Repeat,624808,"['Comedy', 'Romance']","['English', 'Italian']","['United Kingdom', 'Italy']",2020-04-10,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day."
Almost Love,37185,"['Drama', 'Romance']","['Cantonese', 'Mandarin', 'English']",['Hong Kong'],1996-11-02,"Jun arrives in Hong Kong from mainland China, hoping to be able to earn enough money to marry his girlfriend back home. He meets the streetwise Qiao and they become friends. As friendship turns into love, problems develop, and although they seem meant for each other they somehow keep missing out."
Hope Gap,537140,['Drama'],['English'],['United Kingdom'],2019-10-03,"Grace lives an idyllic life in a British seaside town, but her world soon comes crashing down when her husband of 29 years tells her he's leaving her for another woman. Through stages of shock, disbelief and anger -- and with support from her son -- Grace ultimately regains her footing while learning it's never too late to be happy."
All the Bright Places,342470,"['Romance', 'Drama']",['English'],['United States of America'],2020-02-28,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.
The Photograph,589049,"['Drama', 'Romance']",['English'],"['Canada', 'United States of America']",2020-02-14,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist."
You Go to My Head,508892,"['Drama', 'Mystery', 'Romance', 'Thriller']","['French', 'English']","['Belgium', 'France', 'Germany']",2017-10-26,"Following a mysterious car accident in the desert, Dafne suffers from post-traumatic amnesia. Jake, the first person she sees when she regains consciousness, tells her he's her husband."
Ordinary Love,588787,"['Drama', 'Romance']",['English'],"['Ireland', 'United Kingdom']",2019-12-06,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.
To All the Boys: P.S. I Still Love You,565426,"['Romance', 'Comedy']",['English'],['United States of America'],2020-02-03,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.
The Woman Who Loves Giraffes,544825,['Documentary'],[],"['Canada', 'South Africa', 'United States of America']",2018-10-03,"Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back."
Queen & Slim,536743,"['Drama', 'Romance', 'Crime']","['English', 'Italian']","['Canada', 'United States of America']",2019-11-27,"While on a forgettable first date together in Ohio, a black man and a black woman are pulled over for a minor traffic infraction. The situation escalates, with sudden and tragic results."
Marriage Story,492188,['Drama'],['English'],['United Kingdom'],2019-09-28,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes."
"Cyrano, My Love",544510,"['Comedy', 'History']","['French', 'Russian']","['Belgium', 'France']",2018-11-10,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word."
Pretenders,346666,['Drama'],['English'],['United States of America'],2019-09-27,"A love triangle involving a photographer, a director and an actress."
First Love,834742,"['Romance', 'Drama']","['English', 'Portuguese']",['United States of America'],2022-06-17,"A young man’s difficult entry into adulthood, who experiences the highs and lows of his first love, while dealing with the familial fallout spurred by the financial crisis of 2008."
Loro,541660,['Drama'],['Italian'],"['France', 'Italy']",2018-09-13,"Internationally released Director's Cut of ""Loro 1"" and ""Loro 2"", which were released separately as two movies in Italy. The film talks about the group of businessmen and politicians – the Loro (Them) from the title – who live and act near to media tycoon and politician Silvio Berlusconi in the years between 2006 and 2009."
Falling Inn Love,623195,"['Romance', 'Comedy']",['English'],['United States of America'],2019-08-29,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor."
Hot Air,479315,['Drama'],['English'],['United States of America'],2018-04-10,A right-wing talk show host's life takes a sudden turn when his 16-year-old niece comes crashing into his life.
"Love, Antosha",565276,['Documentary'],"['English', 'Russian']",['United States of America'],2019-08-02,"From a prolific career in film and television, Anton Yelchin left an indelible legacy as an actor. Through his journals and other writings, his photography, the original music he wrote, and interviews with his family, friends, and colleagues, this film looks not just at Anton's impressive career, but at a broader portrait of the man."
Leto,204513,"['Family', 'Drama', 'TV Movie']",['Serbo-Croatian'],['Yugoslavia'],1988-01-01,
